sf_tracker,sf_id,sf_created,sf_status,gh_issue_number,gh_url
plugintickets,1,2008-11-02 00:25:46,closed,17,https://github.com/dbunit/dbunit-maven-plugin/issues/17
plugintickets,2,2009-11-08 11:49:12,closed,18,https://github.com/dbunit/dbunit-maven-plugin/issues/18
plugintickets,3,2009-10-21 16:56:56,closed,19,https://github.com/dbunit/dbunit-maven-plugin/issues/19
plugintickets,4,2019-07-22 20:54:41.593000,closed,20,https://github.com/dbunit/dbunit-maven-plugin/issues/20
plugintickets,5,2020-02-20 15:02:42.444000,closed,21,https://github.com/dbunit/dbunit-maven-plugin/issues/21
plugintickets,6,2021-10-30 13:27:27.475000,closed,22,https://github.com/dbunit/dbunit-maven-plugin/issues/22
plugintickets,7,2021-10-30 13:30:53.167000,closed,23,https://github.com/dbunit/dbunit-maven-plugin/issues/23
plugintickets,8,2022-02-13 21:37:07.481000,open,24,https://github.com/dbunit/dbunit-maven-plugin/issues/24
plugintickets,9,2024-02-12 02:57:22.042000,open,25,https://github.com/dbunit/dbunit-maven-plugin/issues/25
plugintickets,10,2025-09-21 14:30:44.823000,closed,26,https://github.com/dbunit/dbunit-maven-plugin/issues/26
plugintickets,11,2025-09-21 14:33:32.570000,closed,27,https://github.com/dbunit/dbunit-maven-plugin/issues/27
plugintickets,12,2025-09-21 21:59:54.417000,closed,28,https://github.com/dbunit/dbunit-maven-plugin/issues/28
plugintickets,13,2025-11-22 16:49:25.262000,closed,29,https://github.com/dbunit/dbunit-maven-plugin/issues/29
plugintickets,14,2026-05-02 15:33:42.272000,closed,30,https://github.com/dbunit/dbunit-maven-plugin/issues/30
plugintickets,15,2026-05-02 15:39:38.444000,closed,31,https://github.com/dbunit/dbunit-maven-plugin/issues/31
