sf_username,gh_username,sf_name,gh_name,gh_by_name,flag
acecacec,NOTFOUND,,,,
adko,adamsiemion,Adam Siemion,Adeel Hassan Ko Ansari,AMBIGUOUS,AMBIGUOUS
agnul,agnul,agnul,Angelo,NONE,
ajohnson,andrewhj,Andrew Johnson,,AMBIGUOUS,AMBIGUOUS
akhilss,akhilss,Akhil Srinivasan,Akhil Srinivasan,akhilss,
aklemp,aklemp,Andreas Klemp,Andreas Klemp,aklemp,
al0,al0,al0,troshkova,NONE,
alekssokolov,alekssokolov,Alexander A. Sokolov,,NONE,
amit3011,amit3011,Ameet Khumse,,NONE,
Andres Almiray,aalmiray,,,AMBIGUOUS,AMBIGUOUS
apechinsky,apechinsky,Anton,Anton Pechinsky,AMBIGUOUS,AMBIGUOUS
artbristol,artbristol,Art,Art O Cathain,AMBIGUOUS,AMBIGUOUS
bambaro,Bambaro,bambaro,,NONE,
Bas Cancrinus,NOTFOUND,,,NONE,
bascan,bascan,Bas Cancrinus,,NONE,
Bernard Schubach,NOTFOUND,,,NONE,
berni123,berni123,Berni,,AMBIGUOUS,AMBIGUOUS
bilaco,bilaco,Cesar Augusto,Luca A.,AMBIGUOUS,AMBIGUOUS
bjornbeskow,beskow,Bjorn Beskow,Björn Beskow,beskow,MISMATCH
brentplump,NOTFOUND,,,,
Brian Atkinson,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
bugmenot,bugmenot,bugmenot,,bugmenotbugmenot,MISMATCH
bustuila,NOTFOUND,Bustuila,,NONE,
byte-error,ByTe-ErRoR,Thomas,,AMBIGUOUS,AMBIGUOUS
carcher,carcher,Clark Archer,,AMBIGUOUS,AMBIGUOUS
caseylucas,caseylucas,Casey Lucas,Casey Lucas,caseylucas,
cdubet,cdubet,cdubet,,NONE,
chadwl,chadwl,L Chadwick,,gchadwick,MISMATCH
che---,NOTFOUND,Che---,,NONE,
Chris R. Salch,NOTFOUND,,,NONE,
chrisphe,chrisphe,Chris Pheby,Chris Pheby,chrisphe,
chuanghs,chuanghs,Steve Chuang,Zombie,chenhan20,MISMATCH
Chuck Hill,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
claus437,claus437,Claus Reimer,,woodstub,MISMATCH
Cris Daniluk,NOTFOUND,,,cdaniluk,MISMATCH
cyberroadie,NOTFOUND,cyberroadie,,NONE,
"cyberroadie, firsttiger",NOTFOUND,,,NONE,
dacota,DaCoTa,Claudio Tagliola,,NONE,
damian_golda,dgolda,Damian Gołda,,dgolda,MISMATCH
danttran,danttran,Dan T. Tran,,NONE,
dbamberghi,dbamberghi,Daniele Bamberghi,,NONE,
dep4b,epugh,Eric Pugh,,AMBIGUOUS,AMBIGUOUS
dependabot,dependabot,,Dependabot,,
Dependabot,dependabot,,Dependabot,,
deragon,deragon,Hans Deragon,Hans Deragon,deragon,
Dion Gillard,NOTFOUND,,,NONE,
djeanprost,djeanprost,Dominique Jean-Prost,Dom JP,NONE,
djocal,djocal,Doj,D Jocal,AMBIGUOUS,AMBIGUOUS
dnap,DnAp,dnap,DnAp,DnAp,
drissamri,drissamri,Driss Amri,Driss Amri,drissamri,
dsyer,dsyer,Dave Syer,Dave Syer,dsyer,
easyproglife,NOTFOUND,easyproglife,,NONE,
ejain,ejain,Eric Jain,Eric Jain,ejain,
emann,NOTFOUND,Edward Mann,Ethan Mann,AMBIGUOUS,AMBIGUOUS
erik.van.zijst,NOTFOUND,,,,
felipeal,NOTFOUND,Felipe Leme,Felipe Lima,AMBIGUOUS,AMBIGUOUS
felixknecht,dicer,Felix Knecht,,dicer,MISMATCH
fordfrog,fordfrog,Miroslav Šulc,Miroslav Šulc,fordfrog,
fs5,Kalnet-FS5,fs5,Frank Schwarz,Kalnet-FS5,MISMATCH
fspinazzi,NOTFOUND,Federico Spinazzi,,NONE,
gavenkoa,gavenkoa,Oleksandr Gavenko,Oleksandr Gavenko,gavenkoa,
gianasista,gianasista,Vera Henneberger,,NONE,
glesatsf,NOTFOUND,gles@sf,,NONE,
gmathijssen,gmathijssen,Guus Mathijssen,Guus Mathijssen,gmathijssen,
gommma,NOTFOUND,matthias g,Gommma,AMBIGUOUS,AMBIGUOUS
Greg Morgan,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
hack,hackmann,Hack Kampbjørn,,AMBIGUOUS,AMBIGUOUS
ianjoyce,ianjoyce,Ian J Joyce,,NONE,
ihr-staal,NOTFOUND,Alfred,,AMBIGUOUS,AMBIGUOUS
ips_khanwale,NOTFOUND,ips_khanwale,,NONE,
j_linz,NOTFOUND,Jochen Linz,,NONE,
j_zimmermann,juergenzimmermann,Juergen Zimmermann,,juergenzimmermann,MISMATCH
jacobrobertson,jacobrobertson,Jacob Robertson,Jacob Robertson,AMBIGUOUS,AMBIGUOUS
jamapor,NOTFOUND,Jacob,,AMBIGUOUS,AMBIGUOUS
james_a_woods,NOTFOUND,James Woods,,AMBIGUOUS,AMBIGUOUS
JamesR,jamesr,,James Robinson,,
jammule,JamMule,Jarmo Jaakkola,Jarmo Jaakkola,JamMule,
jbhurst,johnbhurst,John Hurst,John Hurst,AMBIGUOUS,AMBIGUOUS
jeffjensen,jeffjensen,Jeff Jensen,Jeff Jensen,AMBIGUOUS,AMBIGUOUS
JensFransson,JensFransson,,Jens Fransson,,
Jeremy Frens,NOTFOUND,,,NONE,
jeremy_finney,finneyj-gh,Jeremy Finney,,finneyj-gh,MISMATCH
jeromevdl,jeromevdl,jeromevdl,Jérôme Van Der Linden,NONE,
jhattat,jhattat,jhattat,Jérémie HATTAT,NONE,
jherico,jherico,Brad Davis,Tano🏳️‍⚧️,AMBIGUOUS,AMBIGUOUS
jkearns,jkearns-arthrex,Joe Kearns,,jkearns-arthrex,MISMATCH
John Lewis,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
jondi,Jondi,jondi,,AMBIGUOUS,AMBIGUOUS
kalpana,kalpana,Kalpana Seshadri,,NONE,
kazuhito-m,kazuhito-m,Kazuhito Miura,Kazuhito Miura,kazuhito-m,
kforkiss,NOTFOUND,Iwao AVE!,,NONE,
kkaz,nemuzuka,Kazumune Katagiri,,nemuzuka,MISMATCH
Klas Axell,NOTFOUND,,,axekla,MISMATCH
kornstaedt,andreaskornstaedt,Andreas Kornstaedt,,andreaskornstaedt,MISMATCH
lcann,lcann,Luke Cann,,AMBIGUOUS,AMBIGUOUS
lennymarks,lenny,Lenny Marks,,lenny,MISMATCH
loedolff,loedolff,Hans Loedolff,Hans Loedolff,loedolff,
lorentzforces,lorentz-bind,Lorentz Aberg,,lorentz-bind,MISMATCH
lufecir,lufecir,Luc Feys,,NONE,
luigitalamona,LuigiTalamona,Luigi Talamona,Luigi,NONE,
lumpynose,lumpynose,lumpynose,Lumpy,NONE,
lunatix13,armandjanssen,Armand Janssen,,armandjanssen,MISMATCH
lyrzine,lyrzine,Lyrzine,,NONE,
macha64,macha64,Masaaki Takahashi,,AMBIGUOUS,AMBIGUOUS
markarnold,markarnold,MSA,,AMBIGUOUS,AMBIGUOUS
Markus Thielen,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
marney,marney,Mike A,,AMBIGUOUS,AMBIGUOUS
matthieus,matthieus,Matthieu Scholler,,AMBIGUOUS,AMBIGUOUS
"simon_wu",NOTFOUND,,,NONE,
mattias78,mjiderhamn,Mattias Jiderhamn,,mjiderhamn,MISMATCH
matty70,Matty70,Martin P.,Mathias Mhando,NONE,
mcpierceaim,mcpierce,Darryl Pierce,,mcpierce,MISMATCH
"mfrechePgest, ibic",NOTFOUND,,,NONE,
Mike Norrish,NOTFOUND,,,NONE,
mkejzar,MadMatt04,Matija Kejzar,,MadMatt04,MISMATCH
mkienenb,mkienenb,Mike Kienenberger,Mike Kienenberger,mkienenb,
